id,type,src,dst,app,latency,message,ctime,size,buffer
64,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6401.673333333333,100000,191
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,6500,100000,192
65,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,6501.673333333333,50000,193
65,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6501.673333333333,100000,194
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,6600,100000,195
66,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,6601.673333333333,50000,196
66,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6601.673333333333,100000,197
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,6700,100000,198
67,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,6701.673333333333,50000,199
67,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6701.673333333333,100000,200
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,6800,100000,201
68,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,6801.673333333333,50000,202
68,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6801.673333333333,100000,203
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,6900,100000,204
69,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,6901.673333333333,50000,205
69,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,6901.673333333333,100000,206
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7000,100000,207
70,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7001.673333333333,50000,208
70,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7001.673333333333,100000,209
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7100,100000,210
71,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7101.673333333333,50000,211
71,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7101.673333333333,100000,212
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7200,100000,213
72,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,7201.673333333333,50000,214
72,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,7201.673333333333,100000,215
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,7300,100000,216
